"Pr. indbygger, løbende priser (kr.)","I alt (netto)","0.28.20 Grønne områder og naturpladser","Lemvig",149
"Pr. indbygger, løbende priser (kr.)","I alt (netto)","0.28.20 Grønne områder og naturpladser","Ringkøbing-Skjern",88
"Pr. indbygger, løbende priser (kr.)","I alt (netto)","0.28.20 Grønne områder og naturpladser","Skive",144
"Pr. indbygger, løbende priser (kr.)","I alt (netto)","0.28.20 Grønne områder og naturpladser","Struer",2
"Pr. indbygger, løbende priser (kr.)","I alt (netto)","0.28.20 Grønne områder og naturpladser","Viborg",104
"Pr. indbygger, løbende priser (kr.)","I alt (netto)","0.28.20 Grønne områder og naturpladser","Brønderslev",405
"Pr. indbygger, løbende priser (kr.)","I alt (netto)","0.28.20 Grønne områder og naturpladser","Frederikshavn",211
"Pr. indbygger, løbende priser (kr.)","I alt (netto)","0.28.20 Grønne områder og naturpladser","Hjørring",179
"Pr. indbygger, løbende priser (kr.)","I alt (netto)","0.28.20 Grønne områder og naturpladser","Jammerbugt",246
"Pr. indbygger, løbende priser (kr.)","I alt (netto)","0.28.20 Grønne områder og naturpladser","Læsø",533
"Pr. indbygger, løbende priser (kr.)","I alt (netto)","0.28.20 Grønne områder og naturpladser","Mariagerfjord",218
"Pr. indbygger, løbende priser (kr.)","I alt (netto)","0.28.20 Grønne områder og naturpladser","Morsø",229
"Pr. indbygger, løbende priser (kr.)","I alt (netto)","0.28.20 Grønne områder og naturpladser","Rebild",173
"Pr. indbygger, løbende priser (kr.)","I alt (netto)","0.28.20 Grønne områder og naturpladser","Thisted",141
"Pr. indbygger, løbende priser (kr.)","I alt (netto)","0.28.20 Grønne områder og naturpladser","Vesthimmerlands",302
"Pr. indbygger, løbende priser (kr.)","I alt (netto)","0.28.20 Grønne områder og naturpladser","Aalborg",285
"Pr. indbygger, løbende priser (kr.)","I alt (netto)","0.32.31 Stadion og idrætsanlæg","Hele landet",296
"Pr. indbygger, løbende priser (kr.)","I alt (netto)","0.32.31 Stadion og idrætsanlæg","København",274
"Pr. indbygger, løbende priser (kr.)","I alt (netto)","0.32.31 Stadion og idrætsanlæg","Frederiksberg",302
"Pr. indbygger, løbende priser (kr.)","I alt (netto)","0.32.31 Stadion og idrætsanlæg","Dragør",409
"Pr. indbygger, løbende priser (kr.)","I alt (netto)","0.32.31 Stadion og idrætsanlæg","Tårnby",992
"Pr. indbygger, løbende priser (kr.)","I alt (netto)","0.32.31 Stadion og idrætsanlæg","Albertslund",744
"Pr. indbygger, løbende priser (kr.)","I alt (netto)","0.32.31 Stadion og idrætsanlæg","Ballerup",422
"Pr. indbygger, løbende priser (kr.)","I alt (netto)","0.32.31 Stadion og idrætsanlæg","Brøndby",609
"Pr. indbygger, løbende priser (kr.)","I alt (netto)","0.32.31 Stadion og idrætsanlæg","Gentofte",933
"Pr. indbygger, løbende priser (kr.)","I alt (netto)","0.32.31 Stadion og idrætsanlæg","Gladsaxe",587
"Pr. indbygger, løbende priser (kr.)","I alt (netto)","0.32.31 Stadion og idrætsanlæg","Glostrup",771
"Pr. indbygger, løbende priser (kr.)","I alt (netto)","0.32.31 Stadion og idrætsanlæg","Herlev",878
"Pr. indbygger, løbende priser (kr.)","I alt (netto)","0.32.31 Stadion og idrætsanlæg","Hvidovre",747
"Pr. indbygger, løbende priser (kr.)","I alt (netto)","0.32.31 Stadion og idrætsanlæg","Høje-Taastrup",659
"Pr. indbygger, løbende priser (kr.)","I alt (netto)","0.32.31 Stadion og idrætsanlæg","Ishøj",791
"Pr. indbygger, løbende priser (kr.)","I alt (netto)","0.32.31 Stadion og idrætsanlæg","Lyngby-Taarbæk",456
"Pr. indbygger, løbende priser (kr.)","I alt (netto)","0.32.31 Stadion og idrætsanlæg","Rødovre",787
"Pr. indbygger, løbende priser (kr.)","I alt (netto)","0.32.31 Stadion og idrætsanlæg","Vallensbæk",8
"Pr. indbygger, løbende priser (kr.)","I alt (netto)","0.32.31 Stadion og idrætsanlæg","Allerød",242
"Pr. indbygger, løbende priser (kr.)","I alt (netto)","0.32.31 Stadion og idrætsanlæg","Egedal",399
